Column1,work_year,experience_level,employment_type,job_title, salary ,salary_currency, salary_in_usd ,employee_residence,remote_ratio,company_location,company_size
299,2022,SE,FT,Data Scientist," 99,360 ",USD," $99,360 ",US,100,US,M
300,2022,SE,FT,Data Scientist," 90,000 ",GBP," $117,789 ",GB,0,GB,M
301,2022,SE,FT,Data Scientist," 80,000 ",GBP," $104,702 ",GB,0,GB,M
302,2022,SE,FT,Data Scientist," 146,000 ",USD," $146,000 ",US,100,US,M
303,2022,SE,FT,Data Scientist," 123,000 ",USD," $123,000 ",US,100,US,M
304,2022,EN,FT,Data Engineer," 40,000 ",GBP," $52,351 ",GB,100,GB,M
305,2022,SE,FT,Data Analyst," 99,000 ",USD," $99,000 ",US,0,US,M
306,2022,SE,FT,Data Analyst," 116,000 ",USD," $116,000 ",US,0,US,M
307,2022,MI,FT,Data Analyst," 106,260 ",USD," $106,260 ",US,0,US,M
308,2022,MI,FT,Data Analyst," 126,500 ",USD," $126,500 ",US,0,US,M
309,2022,EX,FT,Data Engineer," 242,000 ",USD," $242,000 ",US,100,US,M
310,2022,EX,FT,Data Engineer," 200,000 ",USD," $200,000 ",US,100,US,M
311,2022,MI,FT,Data Scientist," 50,000 ",GBP," $65,438 ",GB,0,GB,M
312,2022,MI,FT,Data Scientist," 30,000 ",GBP," $39,263 ",GB,0,GB,M
313,2022,MI,FT,Data Engineer," 60,000 ",GBP," $78,526 ",GB,0,GB,M
314,2022,MI,FT,Data Engineer," 40,000 ",GBP," $52,351 ",GB,0,GB,M
315,2022,SE,FT,Data Scientist," 165,220 ",USD," $165,220 ",US,100,US,M
316,2022,EN,FT,Data Engineer," 35,000 ",GBP," $45,807 ",GB,100,GB,M
317,2022,SE,FT,Data Scientist," 120,160 ",USD," $120,160 ",US,100,US,M
318,2022,SE,FT,Data Analyst," 90,320 ",USD," $90,320 ",US,100,US,M
319,2022,SE,FT,Data Engineer," 181,940 ",USD," $181,940 ",US,0,US,M
320,2022,SE,FT,Data Engineer," 132,320 ",USD," $132,320 ",US,0,US,M
321,2022,SE,FT,Data Engineer," 220,110 ",USD," $220,110 ",US,0,US,M
322,2022,SE,FT,Data Engineer," 160,080 ",USD," $160,080 ",US,0,US,M
323,2022,SE,FT,Data Scientist," 180,000 ",USD," $180,000 ",US,0,US,L
324,2022,SE,FT,Data Scientist," 120,000 ",USD," $120,000 ",US,0,US,L
325,2022,SE,FT,Data Analyst," 124,190 ",USD," $124,190 ",US,100,US,M
326,2022,EX,FT,Data Analyst," 130,000 ",USD," $130,000 ",US,100,US,M
327,2022,EX,FT,Data Analyst," 110,000 ",USD," $110,000 ",US,100,US,M
328,2022,SE,FT,Data Analyst," 170,000 ",USD," $170,000 ",US,100,US,M
329,2022,MI,FT,Data Analyst," 115,500 ",USD," $115,500 ",US,100,US,M
330,2022,SE,FT,Data Analyst," 112,900 ",USD," $112,900 ",US,100,US,M
331,2022,SE,FT,Data Analyst," 90,320 ",USD," $90,320 ",US,100,US,M
332,2022,SE,FT,Data Analyst," 112,900 ",USD," $112,900 ",US,100,US,M
333,2022,SE,FT,Data Analyst," 90,320 ",USD," $90,320 ",US,100,US,M
334,2022,SE,FT,Data Engineer," 165,400 ",USD," $165,400 ",US,100,US,M
335,2022,SE,FT,Data Engineer," 132,320 ",USD," $132,320 ",US,100,US,M
336,2022,MI,FT,Data Analyst," 167,000 ",USD," $167,000 ",US,100,US,M
337,2022,SE,FT,Data Engineer," 243,900 ",USD," $243,900 ",US,100,US,M
338,2022,SE,FT,Data Analyst," 136,600 ",USD," $136,600 ",US,100,US,M
339,2022,SE,FT,Data Analyst," 109,280 ",USD," $109,280 ",US,100,US,M
340,2022,SE,FT,Data Engineer," 128,875 ",USD," $128,875 ",US,100,US,M
341,2022,SE,FT,Data Engineer," 93,700 ",USD," $93,700 ",US,100,US,M
342,2022,EX,FT,Head of Data Science," 224,000 ",USD," $224,000 ",US,100,US,M
343,2022,EX,FT,Head of Data Science," 167,875 ",USD," $167,875 ",US,100,US,M
344,2022,EX,FT,Analytics Engineer," 175,000 ",USD," $175,000 ",US,100,US,M
345,2022,SE,FT,Data Engineer," 156,600 ",USD," $156,600 ",US,100,US,M
346,2022,SE,FT,Data Engineer," 108,800 ",USD," $108,800 ",US,0,US,M
347,2022,SE,FT,Data Scientist," 95,550 ",USD," $95,550 ",US,0,US,M
348,2022,SE,FT,Data Engineer," 113,000 ",USD," $113,000 ",US,0,US,L
