Column1,work_year,experience_level,employment_type,job_title, salary ,salary_currency, salary_in_usd ,employee_residence,remote_ratio,company_location,company_size
102,2021,MI,FT,BI Data Analyst," 11,000,000 ",HUF," $36,259 ",HU,50,US,L
103,2021,MI,FT,Data Analyst," 62,000 ",USD," $62,000 ",US,0,US,L
104,2021,MI,FT,Data Scientist," 73,000 ",USD," $73,000 ",US,0,US,L
105,2021,MI,FT,Data Analyst," 37,456 ",GBP," $51,519 ",GB,50,GB,L
106,2021,MI,FT,Research Scientist," 235,000 ",CAD," $187,442 ",CA,100,CA,L
107,2021,SE,FT,Data Engineer," 115,000 ",USD," $115,000 ",US,100,US,S
108,2021,SE,FT,Data Engineer," 150,000 ",USD," $150,000 ",US,100,US,M
109,2021,EN,FT,Data Engineer," 2,250,000 ",INR," $30,428 ",IN,100,IN,L
110,2021,SE,FT,Machine Learning Engineer," 80,000 ",EUR," $94,564 ",DE,50,DE,L
111,2021,SE,FT,Director of Data Engineering," 82,500 ",GBP," $113,476 ",GB,100,GB,M
112,2021,SE,FT,Lead Data Engineer," 75,000 ",GBP," $103,160 ",GB,100,GB,S
113,2021,EN,PT,AI Scientist," 12,000 ",USD," $12,000 ",PK,100,US,M
114,2021,MI,FT,Data Engineer," 38,400 ",EUR," $45,391 ",NL,100,NL,L
115,2021,EN,FT,Machine Learning Scientist," 225,000 ",USD," $225,000 ",US,100,US,L
116,2021,MI,FT,Data Scientist," 50,000 ",USD," $50,000 ",NG,100,NG,L
117,2021,MI,FT,Data Science Engineer," 34,000 ",EUR," $40,189 ",GR,100,GR,M
118,2021,EN,FT,Data Analyst," 90,000 ",USD," $90,000 ",US,100,US,S
119,2021,MI,FT,Data Engineer," 200,000 ",USD," $200,000 ",US,100,US,L
120,2021,MI,FT,Big Data Engineer," 60,000 ",USD," $60,000 ",ES,50,RO,M
121,2021,SE,FT,Principal Data Engineer," 200,000 ",USD," $200,000 ",US,100,US,M
122,2021,EN,FT,Data Analyst," 50,000 ",USD," $50,000 ",US,100,US,M
123,2021,EN,FT,Applied Data Scientist," 80,000 ",GBP," $110,037 ",GB,0,GB,L
124,2021,EN,PT,Data Analyst," 8,760 ",EUR," $10,354 ",ES,50,ES,M
125,2021,MI,FT,Principal Data Scientist," 151,000 ",USD," $151,000 ",US,100,US,L
126,2021,SE,FT,Machine Learning Scientist," 120,000 ",USD," $120,000 ",US,50,US,S
127,2021,MI,FT,Data Scientist," 700,000 ",INR," $9,466 ",IN,0,IN,S
128,2021,EN,FT,Machine Learning Engineer," 20,000 ",USD," $20,000 ",IN,100,IN,S
129,2021,SE,FT,Lead Data Scientist," 3,000,000 ",INR," $40,570 ",IN,50,IN,L
130,2021,EN,FT,Machine Learning Developer," 100,000 ",USD," $100,000 ",IQ,50,IQ,S
131,2021,EN,FT,Data Scientist," 42,000 ",EUR," $49,646 ",FR,50,FR,M
132,2021,MI,FT,Applied Machine Learning Scientist," 38,400 ",USD," $38,400 ",VN,100,US,M
133,2021,SE,FT,Computer Vision Engineer," 24,000 ",USD," $24,000 ",BR,100,BR,M
134,2021,EN,FT,Data Scientist," 100,000 ",USD," $100,000 ",US,0,US,S
135,2021,MI,FT,Data Analyst," 90,000 ",USD," $90,000 ",US,100,US,M
136,2021,MI,FT,ML Engineer," 7,000,000 ",JPY," $63,711 ",JP,50,JP,S
137,2021,MI,FT,ML Engineer," 8,500,000 ",JPY," $77,364 ",JP,50,JP,S
138,2021,SE,FT,Principal Data Scientist," 220,000 ",USD," $220,000 ",US,0,US,L
